Blinded_codes,ID,Counts,Duration,ForT,Rep,Counted by,Species,Setup,Expt
30C,1A,54,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1B,78,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1C,83,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1D,70,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1E,50,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3A,35,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3B,29,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3C,43,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3D,32,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3E,36,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4A,26,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4B,15,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4C,16,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4D,13,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4E,22,2H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1A,166,2H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1B,221,2H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1C,184,2H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1D,162,2H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1E,190,2H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3A,121,2H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3B,116,2H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3C,125,2H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3D,118,2H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3E,118,2H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4A,100,2H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4B,90,2H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4C,67,2H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4D,51,2H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4E,89,2H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1F,77,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1G,73,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1H,87,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1I,59,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1J,72,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3F,33,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3G,28,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3H,43,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3I,34,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
46C,3J,36,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4F,10,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4G,27,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4H,21,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4I,26,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
48C,4J,16,5H,7.5g,1,Tash,Tribolium,Ram,UEA_1
30C,1F,157,5H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1G,179,5H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1H,201,5H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1I,167,5H,15g,2,Tash,Tribolium,Ram,UEA_1
30C,1J,176,5H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3F,132,5H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3G,140,5H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3H,112,5H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3I,116,5H,15g,2,Tash,Tribolium,Ram,UEA_1
46C,3J,116,5H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4F,73,5H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4G,46,5H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4H,64,5H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4I,90,5H,15g,2,Tash,Tribolium,Ram,UEA_1
48C,4J,58,5H,15g,2,Tash,Tribolium,Ram,UEA_1
