ID,Temp,Days.Exposed,Counts,Life.Stage,Notes,Heatwave
8,42,42C-5,0,Adult,Dead,Long
7,42,42C-5,0,Adult,Dead,Long
5,42,42C-5,4,Adult,Alive,Long
1,42,42C-5,0,Adult,Dead,Long
6,42,42C-5,0,Adult,Dead,Long
4,42,42C-5,0,Adult,Dead,Long
1,42,42C-3,0,Adult,Dead,Long
4,42,42C-3,0,Adult,Dead,Long
8,42,42C-3,0,Adult,Dead,Long
5,42,42C-3,0,Adult,Dead,Long
7,42,42C-3,3,Adult,Alive,Long
6,42,42C-3,0,Adult,Dead,Long
6,42,42C-1,16,Adult,Alive,Long
6,42,42C-1,1,Larva,Dead,Long
6,42,42C-1,1,Pupa,Dead,Long
8,42,42C-1,41,Adult,Alive,Long
8,42,42C-1,1,Pupa,Dead,Long
1,42,42C-1,12,Adult,Alive,Long
1,42,42C-1,3,Larva,Dead,Long
1,42,42C-1,2,Pupa,Dead,Long
5,42,42C-1,16,Adult,Alive,Long
5,42,42C-1,2,Pupa,Dead,Long
5,42,42C-1,1,Larva,Dead,Long
4,42,42C-1,50,Adult,Alive,Long
4,42,42C-1,1,Pupa,Dead,Long
7,42,42C-1,20,Adult,Alive,Long
7,42,42C-1,3,Pupa,Dead,Long
7,42,42C-1,1,Larva,Dead,Long
2,30,30C-5,50,Adult,Alive,Long
2,30,30C-5,1,Pupa,Dead,Long
11,30,30C-5,58,Adult,Alive,Long
11,30,30C-5,1,Larva,Dead,Long
3,30,30C-5,34,Adult,Alive,Long
9,30,30C-5,39,Adult,Alive,Long
12,30,30C-5,45,Adult,Alive,Long
10,30,30C-5,37,Adult,Alive,Long
