Temp,Fodder,Duration,Rep,Rand.Code,Off.Counts,Pupae,Larvae,Treat,Day
30C,7.5g,2h,8,4,51,2,NA,Short,Saturday
30C,7.5g,2h,4,6,35,2,1,Short,Saturday
30C,7.5g,2h,10,8,31,1,NA,Short,Saturday
30C,7.5g,2h,6,18,70,2,NA,Short,Saturday
30C,7.5g,2h,7,23,34,1,NA,Short,Saturday
30C,7.5g,2h,2,29,30,1,1,Short,Saturday
30C,7.5g,5h,8,1,47,1,NA,Short,Saturday
30C,7.5g,5h,3,5,42,NA,NA,Short,Saturday
30C,7.5g,5h,5,11,38,1,NA,Short,Saturday
30C,7.5g,5h,12,14,47,NA,2,Short,Saturday
30C,7.5g,5h,2,27,44,1,1,Short,Saturday
30C,7.5g,5h,7,29,55,1,NA,Short,Saturday
42C,7.5g,2h,7,2,36,NA,NA,Short,Saturday
42C,7.5g,2h,3,12,47,1,1,Short,Saturday
42C,7.5g,2h,5,13,42,4,1,Short,Saturday
42C,7.5g,2h,2,15,45,2,NA,Short,Saturday
42C,7.5g,2h,9,19,37,1,NA,Short,Saturday
42C,7.5g,2h,6,30,49,1,NA,Short,Saturday
42C,7.5g,5h,9,6,54,3,NA,Short,Saturday
42C,7.5g,5h,10,9,53,NA,1,Short,Saturday
42C,7.5g,5h,6,19,37,3,NA,Short,Saturday
42C,7.5g,5h,1,22,64,1,1,Short,Saturday
42C,7.5g,5h,5,24,46,NA,1,Short,Saturday
42C,7.5g,5h,11,28,52,1,NA,Short,Saturday
44C,7.5g,2h,6,1,42,NA,NA,Short,Saturday
44C,7.5g,2h,10,3,49,1,NA,Short,Saturday
44C,7.5g,2h,9,20,53,2,NA,Short,Saturday
44C,7.5g,2h,4,28,49,NA,NA,Short,Saturday
44C,7.5g,2h,1,43,35,NA,1,Short,Saturday
44C,7.5g,2h,12,44,38,3,1,Short,Saturday
44C,7.5g,5h,1,2,36,1,NA,Short,Saturday
44C,7.5g,5h,2,10,49,3,NA,Short,Saturday
44C,7.5g,5h,11,12,62,2,NA,Short,Saturday
44C,7.5g,5h,4,15,32,3,NA,Short,Saturday
44C,7.5g,5h,5,16,56,3,NA,Short,Saturday
44C,7.5g,5h,8,18,50,3,NA,Short,Saturday
50C,7.5g,2h,12,9,18,4,NA,Short,Saturday
50C,7.5g,2h,10,11,39,2,2,Short,Saturday
50C,7.5g,2h,4,14,0,NA,NA,Short,Saturday
50C,7.5g,2h,9,21,2,1,NA,Short,Saturday
50C,7.5g,2h,6,24,32,3,1,Short,Saturday
