ID,Loc,Fodder.mass.Grams.NoOats,Egg.Counts,Larvae,Assayed,Sample.Block,Scoop
1,UEA,12.29,77,N,Day2,B,
2,UEA,12.03,74,N,Day2,B,
3,UEA,12.65,107,N,Day2,B,
4,UEA,11.44,58,N,Day2,B,
5,UEA,12.35,64,N,Day2,B,
6,UEA,13,159,N,NA,D,
7,UEA,12.53,222,N,NA,D,
8,UEA,11.86,159,N,NA,A,
9,UEA,11.73,85,N,NA,C,
10,UEA,11.93,99,N,NA,C,
11,UEA,11.83,130,N,NA,D,
12,UEA,12.51,67,N,Day2,B,
1,Lab2,13.2,57,N,Day1,Sat,
2,Lab2,11.19,92,N,Day2,Sun,
3,Lab2,11.17,94,N,Day2,Sun,
4,Lab2,13.41,58,N,Day1,Sat,
5,Lab2,13.37,42,N,Day1,Sat,
6,Lab2,11.15,124,N,Day2,Sun,
7,Lab2,13.38,37,N,Day1,Sat,
8,Lab2,13.04,26,N,Day1,Sat,
9,Lab2,11.26,118,N,Day2,Sun,
10,Lab2,13.01,38,N,Day1,Sat,
11,Lab2,11.19,159,N,Day2,Sun,
12,Lab2,11.17,142,N,Day2,Sun,
