Rep,Temp,Fodder,Duration,Offspring,Deaths,Prop.Dead,Stage,Day
1,30,7.5g,2h,251,9,0.035856574,Pupae,Saturday
1,30,7.5g,2h,251,2,0.007968127,Larvae,Saturday
2,30,7.5g,5h,273,4,0.014652015,Pupae,Saturday
2,30,7.5g,5h,273,3,0.010989011,Larvae,Saturday
3,30,7.5g,2h,649,31,0.047765794,Pupae,Sunday
3,30,7.5g,2h,649,21,0.032357473,Larvae,Sunday
4,30,7.5g,5h,592,46,0.077702703,Pupae,Sunday
4,30,7.5g,5h,592,24,0.040540541,Larvae,Sunday
5,42,7.5g,2h,256,9,0.03515625,Pupae,Saturday
5,42,7.5g,2h,256,2,0.0078125,Larvae,Saturday
6,42,7.5g,5h,306,8,0.026143791,Pupae,Saturday
6,42,7.5g,5h,306,3,0.009803922,Larvae,Saturday
7,42,7.5g,2h,690,22,0.031884058,Pupae,Sunday
7,42,7.5g,2h,690,24,0.034782609,Larvae,Sunday
8,42,7.5g,5h,578,52,0.089965398,Pupae,Sunday
8,42,7.5g,5h,578,17,0.029411765,Larvae,Sunday
9,44,7.5g,2h,266,6,0.022556391,Pupae,Saturday
9,44,7.5g,2h,266,2,0.007518797,Larvae,Saturday
10,44,7.5g,2h,672,43,0.063988095,Pupae,Sunday
10,44,7.5g,2h,672,22,0.032738095,Larvae,Sunday
11,44,7.5g,5h,285,15,0.052631579,Pupae,Saturday
11,44,7.5g,5h,285,0,0,Larvae,Saturday
12,44,7.5g,5h,566,65,0.114840989,Pupae,Sunday
12,44,7.5g,5h,566,19,0.033568905,Larvae,Sunday
13,50,7.5g,2h,96,10,0.104166667,Pupae,Saturday
13,50,7.5g,2h,96,4,0.041666667,Larvae,Saturday
14,50,7.5g,2h,73,6,0.082191781,Pupae,Sunday
14,50,7.5g,2h,73,3,0.04109589,Larvae,Sunday
15,50,7.5g,5h,0,0,NA,Pupae,Saturday
15,50,7.5g,5h,0,0,NA,Larvae,Saturday
16,50,7.5g,5h,0,0,NA,Pupae,Sunday
16,50,7.5g,5h,0,0,NA,Larvae,Sunday
